"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,550883,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,584546,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,619170,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,647198,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,624842,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,639187,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,650359,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,652966,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,660463,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,671560,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,690008,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,708337,,
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,737048,"P","Provisional value"
NLD,"Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,773373,"P","Provisional value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1969","1969","EUR","Euro","6","Millions",,,2235.6951,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1970","1970","EUR","Euro","6","Millions",,,1386.1883,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1971","1971","EUR","Euro","6","Millions",,,-1236.9507,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,-2321.7937,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,353.0045,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,4238.9238,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,-321.435,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,2726.4574,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,1831.0314,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,1127.8924,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,648.6099,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,1957.3094,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,-2680.5381,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,-4612.0179,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1983","1983","EUR","Euro","6","Millions",,,177.9372,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1984","1984","EUR","Euro","6","Millions",,,568.2511,"E","Estimated value"
